,Date,Open,High,Low,Close,Adj Close,Volume,year,month,day,dayofweek_num,dayofweek_name,control_stock
84,1991-05-02,490.64001500000006,492.329987,488.92999299999997,491.130005,491.130005,174790000,1991,5,2,3,Thursday,sellersControl
85,1991-05-03,490.57000700000003,492.130005,489.76998899999995,492.10000599999995,492.10000599999995,142110000,1991,5,3,4,Friday,sellersControl
86,1991-05-06,490.77999900000003,491.630005,489.290009,491.48001100000005,491.48001100000005,119580000,1991,5,6,0,Monday,sellersControl
87,1991-05-07,493.69000199999994,494.049988,491.369995,491.51000999999997,491.51000999999997,156930000,1991,5,7,1,Tuesday,buyersControl
88,1991-05-08,490.27999900000003,493.170013,489.920013,492.51000999999997,492.51000999999997,158510000,1991,5,8,2,Wednesday,sellersControl
89,1991-05-09,494.98001100000005,497.94000199999994,493.51998899999995,497.80999800000006,497.80999800000006,179620000,1991,5,9,3,Thursday,sellersControl
90,1991-05-10,498.97000099999997,500.01998899999995,493.170013,493.420013,493.420013,158350000,1991,5,10,4,Friday,buyersControl
91,1991-05-13,494.290009,495.39999400000005,491.60000599999995,493.92999299999997,493.92999299999997,126000000,1991,5,13,0,Monday,buyersControl
92,1991-05-14,491.85000599999995,492.77999900000003,488.089996,488.790009,488.790009,155030000,1991,5,14,1,Tuesday,buyersControl
93,1991-05-15,486.119995,487.540009,476.579987,478.079987,478.079987,186740000,1991,5,15,2,Wednesday,buyersControl
94,1991-05-16,481.35998499999994,482.73001100000005,479.14999400000005,481.76998899999995,481.76998899999995,154270000,1991,5,16,3,Thursday,sellersControl
95,1991-05-17,480.17999299999997,481.51000999999997,478.44000199999994,481.380005,481.380005,146200000,1991,5,17,4,Friday,sellersControl
96,1991-05-20,480.51998899999995,481.869995,479.32000700000003,480.10000599999995,480.10000599999995,125390000,1991,5,20,0,Monday,buyersControl
97,1991-05-21,481.959991,484.64999400000005,480.72000099999997,483.60000599999995,483.60000599999995,166460000,1991,5,21,1,Tuesday,sellersControl
98,1991-05-22,485.920013,487.94000199999994,484.540009,487.290009,487.290009,161750000,1991,5,22,2,Wednesday,sellersControl
99,1991-05-23,489.130005,489.959991,488.02999900000003,489.60000599999995,489.60000599999995,170850000,1991,5,23,3,Thursday,sellersControl
100,1991-05-24,490.92999299999997,492.77999900000003,490.0,492.670013,492.670013,128000000,1991,5,24,4,Friday,sellersControl
101,1991-05-28,494.51000999999997,497.170013,493.380005,497.170013,497.170013,126330000,1991,5,28,1,Tuesday,sellersControl
