Date,Open,High,Low,Close,Adj Close,Volume
2014-05-13,39.919998,40.500000,39.849998,40.419998,35.553310,27004800
2014-05-14,40.299999,40.450001,40.049999,40.240002,35.394993,18818700
2014-05-15,40.090000,40.400002,39.509998,39.599998,34.832054,37793200
2014-05-16,39.669998,39.840000,39.270000,39.830002,35.034348,29867100
2014-05-19,39.610001,39.820000,39.459999,39.750000,34.963993,24537400
2014-05-20,39.680000,39.939999,39.459999,39.680000,34.902416,21320900
2014-05-21,39.799999,40.349998,39.740002,40.349998,35.491745,22398700
2014-05-22,40.290001,40.349998,39.849998,40.099998,35.271858,20201800
2014-05-23,40.369999,40.369999,40.000000,40.119999,35.289429,18020000
2014-05-27,40.259998,40.259998,39.810001,40.189999,35.351006,26160600
2014-05-28,40.139999,40.189999,39.820000,40.009998,35.192680,25711500
2014-05-29,40.150002,40.349998,39.910000,40.340000,35.482956,19888200
2014-05-30,40.450001,40.970001,40.250000,40.939999,36.010712,34567600
2014-06-02,40.950001,41.090000,40.680000,40.790001,35.878769,18504300
2014-06-03,40.599998,40.680000,40.250000,40.290001,35.438976,18068900
2014-06-04,40.209999,40.369999,39.860001,40.320000,35.465359,23209000
2014-06-05,40.590000,41.250000,40.400002,41.209999,36.248203,31865200
2014-06-06,41.480000,41.660000,41.240002,41.480000,36.485691,24060500
2014-06-09,41.389999,41.480000,41.020000,41.270000,36.300980,15019200
2014-06-10,41.029999,41.160000,40.860001,41.110001,36.160248,15117700
2014-06-11,40.930000,41.070000,40.770000,40.860001,35.940342,18040000
2014-06-12,40.810001,40.880001,40.290001,40.580002,35.694069,29818900
2014-06-13,41.099998,41.570000,40.860001,41.230000,36.265793,26310000
2014-06-16,41.040001,41.610001,41.040001,41.500000,36.503281,24205300
2014-06-17,41.290001,41.910000,40.340000,41.680000,36.661613,22518600
2014-06-18,41.610001,41.740002,41.180000,41.650002,36.635223,27097000
2014-06-19,41.570000,41.770000,41.330002,41.509998,36.512081,19828200
2014-06-20,41.450001,41.830002,41.380001,41.680000,36.661613,47764900
2014-06-23,41.730000,42.000000,41.689999,41.990002,36.934292,18743900
2014-06-24,41.830002,41.939999,41.560001,41.750000,36.723183,26509100
2014-06-25,41.700001,42.049999,41.459999,42.029999,36.969471,20049100
2014-06-26,41.930000,41.939999,41.430000,41.720001,36.696804,23604400
2014-06-27,41.610001,42.290001,41.509998,42.250000,37.162983,74640000
2014-06-30,42.169998,42.209999,41.700001,41.700001,36.679207,30793100
2014-07-01,41.860001,42.150002,41.689999,41.869999,36.828735,26917000
2014-07-02,41.730000,41.900002,41.529999,41.900002,36.855122,20208100
2014-07-03,41.910000,41.990002,41.560001,41.799999,36.767159,15969300
2014-07-07,41.750000,42.119999,41.709999,41.990002,36.934292,21952400
2014-07-08,41.869999,42.000000,41.610001,41.779999,36.749569,31218200
2014-07-09,41.980000,41.990002,41.529999,41.669998,36.652817,18445900
2014-07-10,41.369999,42.000000,41.049999,41.689999,36.670410,21854700
2014-07-11,41.700001,42.090000,41.480000,42.090000,37.022240,24083000
2014-07-14,42.220001,42.450001,42.040001,42.139999,37.066227,21881100
2014-07-15,42.330002,42.470001,42.029999,42.450001,37.338905,28748700
2014-07-16,42.509998,44.310001,42.480000,44.080002,38.772652,63318000
2014-07-17,45.450001,45.709999,44.250000,44.529999,39.168465,82180300
2014-07-18,44.650002,44.840000,44.250000,44.689999,39.309196,43407500
2014-07-21,44.560001,45.160000,44.220001,44.840000,39.441143,37604400
2014-07-22,45.000000,45.150002,44.590000,44.830002,39.432343,43095800
2014-07-23,45.450001,45.450001,44.619999,44.869999,39.467522,52362900
2014-07-24,44.930000,45.000000,44.320000,44.400002,39.054119,30725300
2014-07-25,44.299999,44.660000,44.299999,44.500000,39.142075,26737700
2014-07-28,44.360001,44.509998,43.930000,43.970001,38.675888,29684200
2014-07-29,43.910000,44.090000,43.639999,43.889999,38.605522,27763100
2014-07-30,44.070000,44.099998,43.290001,43.580002,38.332836,31921400
2014-07-31,43.380001,43.689999,43.080002,43.160000,37.963425,31537500
2014-08-01,43.209999,43.250000,42.599998,42.860001,37.699535,31170300
2014-08-04,42.970001,43.470001,42.810001,43.369999,38.148140,34277400
2014-08-05,43.310001,43.459999,42.830002,43.080002,37.893051,26266400
2014-08-06,42.740002,43.169998,42.209999,42.740002,37.593983,24634000
2014-08-07,42.840000,43.450001,42.650002,43.230000,38.024986,30314900
2014-08-08,43.230000,43.320000,42.910000,43.200001,37.998604,28942700
2014-08-11,43.259998,43.450001,43.020000,43.200001,37.998604,20351600
2014-08-12,43.040001,43.590000,43.000000,43.520000,38.280071,21431100
2014-08-13,43.680000,44.180000,43.520000,44.080002,38.772652,22889500
2014-08-14,44.080002,44.419998,44.009998,44.270000,38.939762,19313200
2014-08-15,44.580002,44.900002,44.400002,44.790001,39.397163,41611300
2014-08-18,44.939999,45.110001,44.680000,45.110001,39.678627,26891100
2014-08-19,44.970001,45.340000,44.830002,45.330002,40.121174,28139500
2014-08-20,45.340000,45.400002,44.900002,44.950001,39.784843,24770500
2014-08-21,44.840000,45.250000,44.830002,45.220001,40.023808,22285500
2014-08-22,45.349998,45.470001,45.070000,45.150002,39.961872,18294500
2014-08-25,45.400002,45.439999,45.040001,45.169998,39.979561,16910000
2014-08-26,45.310001,45.400002,44.939999,45.009998,39.837948,14873100
2014-08-27,44.900002,45.000000,44.759998,44.869999,39.714031,21287900
2014-08-28,44.750000,44.980000,44.610001,44.880001,39.722885,17657600
2014-08-29,45.090000,45.439999,44.860001,45.430000,40.209682,21607600
